Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR12885579 - illumina_universal_adapter	(1, 0.10618749682602639)	(2, 0.10747315702217956)	(3, 0.10756958153689106)	(4, 0.10763922146418269)	(5, 0.10812937941396608)	(6, 0.10828473002100127)	(7, 0.11119353621479781)	(8, 0.14900265981666913)	(9, 0.1494821039314846)	(10, 0.15344622286962356)	(11, 0.15364710727527248)	(12, 0.1538881685620512)	(13, 0.15439707572302852)	(14, 0.15466492159722708)	(15, 0.1550774042434929)	(16, 0.1552809671078838)	(17, 0.15566666516672978)	(18, 0.15592647566470239)	(19, 0.15649430891800337)	(20, 0.15698178840904478)	(21, 0.1573969495140526)	(22, 0.15801031656596734)	(23, 0.15892634945572648)	(24, 0.16038343101136673)	(25, 0.16242977349024387)	(26, 0.16562249631069093)	(27, 0.16995356409648193)	(28, 0.17586492254004457)	(29, 0.18404493553806914)	(30, 0.19476680588223824)	(31, 0.20800910590261595)	(32, 0.22415753365804825)	(33, 0.24232551930493781)	(34, 0.2642165626031876)	(35, 0.2895172838799853)	(36, 0.31818750625420117)	(37, 0.3496620749312761)	(38, 0.3833892274103611)	(39, 0.42090907746809797)	(40, 0.4619537792302881)	(41, 0.5062019176478932)	(42, 0.5536267081334936)	(43, 0.6046165272046768)	(44, 0.6593026193398006)	(45, 0.7169591222197866)	(46, 0.7783788596322626)	(47, 0.8433421979603858)	(48, 0.9121705522531945)	(49, 0.9846416104351038)	(50, 1.0602437868863945)	(51, 1.1396359824575952)	(52, 1.2236297701475274)	(53, 1.310936811301296)	(54, 1.4016856719385162)	(55, 1.4980459036401967)	(56, 1.5972185170209625)	(57, 1.6995383194235614)	(58, 1.8058383115167511)	(59, 1.9158667181787852)	(60, 2.028214670111379)	(61, 2.1446767346716626)	(62, 2.2647065062762715)	(63, 2.3885423677532422)	(64, 2.515605772014306)	(65, 2.64521906899774)
SRR12885579 - polya	(1, 0.07301746376527445)	(2, 0.10422418656815081)	(3, 0.13404078928393656)	(4, 0.16287171918267154)	(5, 0.19044645193141518)	(6, 0.2216799593217114)	(7, 0.2541402008158371)	(8, 0.28779503490888847)	(9, 0.32245964794766846)	(10, 0.35849563186234523)	(11, 0.3923165303973997)	(12, 0.4260999305100664)	(13, 0.45998243359618657)	(14, 0.49148110840193937)	(15, 0.523207452200761)	(16, 0.5554132401143981)	(17, 0.5885270255415683)	(18, 0.6233202045999636)	(19, 0.6574089490092166)	(20, 0.6931985147196307)	(21, 0.730271062167456)	(22, 0.7692131738171872)	(23, 0.8070222974190586)	(24, 0.8457287046994951)	(25, 0.8857529136809887)	(26, 0.9260878238765526)	(27, 0.9672878762457779)	(28, 1.0090718326207562)	(29, 1.050748650646055)	(30, 1.0935477428842457)	(31, 1.1365503979868277)	(32, 1.1793334194725664)	(33, 1.222954798544547)	(34, 1.2667422420585306)	(35, 1.3109769881824258)	(36, 1.3556724292099425)	(37, 1.4005660761843663)	(38, 1.445074025099944)	(39, 1.4902542671597603)	(40, 1.5356139659552894)	(41, 1.5829155473387584)	(42, 1.6298528583333172)	(43, 1.6774142502147589)	(44, 1.7264862928266804)	(45, 1.776099384104483)	(46, 1.8268936756875014)	(47, 1.8794798561689083)	(48, 1.9319133645020221)	(49, 1.9853137964409926)	(50, 2.0384303117533125)	(51, 2.092596782892491)	(52, 2.1475587562780394)	(53, 2.2022046715320336)	(54, 2.2570032589343207)	(55, 2.312441997975942)	(56, 2.3682932196638298)	(57, 2.4232257300032165)	(58, 2.478243951022346)	(59, 2.5359754507471077)	(60, 2.5937471273529993)	(61, 2.6518696820540906)	(62, 2.710485073163708)	(63, 2.7715083986823696)	(64, 2.8305068093920904)	(65, 2.8916372732604323)
SRR12885580 - illumina_universal_adapter	(1, 0.10145043870726976)	(2, 0.1027392744171993)	(3, 0.10287252302892105)	(4, 0.10299887947107102)	(5, 0.10354565825710173)	(6, 0.10379377636168709)	(7, 0.10611873489724626)	(8, 0.1370599814949842)	(9, 0.13758838116215671)	(10, 0.13985820234114135)	(11, 0.14033835682131118)	(12, 0.14067607313033015)	(13, 0.1413492083585108)	(14, 0.14186841846625425)	(15, 0.14259439366115217)	(16, 0.14300792383546113)	(17, 0.1437545755390745)	(18, 0.14426919086710338)	(19, 0.14520882331872761)	(20, 0.14590493244548097)	(21, 0.146665368488238)	(22, 0.14755675575285948)	(23, 0.14897194790493898)	(24, 0.15069039551817834)	(25, 0.15320833480174836)	(26, 0.15695997243867335)	(27, 0.16234735165397596)	(28, 0.1699402251322596)	(29, 0.18005793006368503)	(30, 0.1931392679109912)	(31, 0.21047307438410767)	(32, 0.23161595324058096)	(33, 0.25712617021572814)	(34, 0.2859561155346332)	(35, 0.32003329928754726)	(36, 0.35958975785005476)	(37, 0.404145336741986)	(38, 0.45260188361156484)	(39, 0.5069558302447607)	(40, 0.5670463593515644)	(41, 0.6322118226530818)	(42, 0.7033711760922217)	(43, 0.7794653229447814)	(44, 0.8605539953470503)	(45, 0.9467543601817493)	(46, 1.038960102103357)	(47, 1.137727189457333)	(48, 1.2430303509552478)	(49, 1.35546001579042)	(50, 1.4734631484193337)	(51, 1.5957555079117742)	(52, 1.7237936394372515)	(53, 1.8591880132857137)	(54, 1.9995079909881666)	(55, 2.146591484430428)	(56, 2.2988280233225504)	(57, 2.4567368177722773)	(58, 2.620460305950759)	(59, 2.7891300744919474)	(60, 2.964067122563773)	(61, 3.145365643150385)	(62, 3.3321204646480176)	(63, 3.5238376482373575)	(64, 3.719935954284515)	(65, 3.9201511829559035)
SRR12885580 - polya	(1, 0.14072202092747557)	(2, 0.18600816979401924)	(3, 0.2304534739728014)	(4, 0.27250260053044895)	(5, 0.3136052024669005)	(6, 0.3592129859134622)	(7, 0.406038385984378)	(8, 0.45749302661769675)	(9, 0.5107832817469757)	(10, 0.5633636434103576)	(11, 0.6108460969804532)	(12, 0.6582228706171143)	(13, 0.7045520344788594)	(14, 0.7483104190903173)	(15, 0.7906099611424074)	(16, 0.833706697474971)	(17, 0.8781129460261795)	(18, 0.9241893970036247)	(19, 0.969827046518331)	(20, 1.0175438338538683)	(21, 1.0657407756695754)	(22, 1.1164028168021354)	(23, 1.1661987419585038)	(24, 1.2169342995664962)	(25, 1.269537635128451)	(26, 1.3236090028092025)	(27, 1.3790105592173143)	(28, 1.4344236025747124)	(29, 1.490482212482004)	(30, 1.5479169589138013)	(31, 1.6065302663423793)	(32, 1.6659223889325725)	(33, 1.7245471833104369)	(34, 1.7818670602493707)	(35, 1.8409628195479757)	(36, 1.9002400726453053)	(37, 1.958894733091314)	(38, 2.017338033670454)	(39, 2.0774882949135467)	(40, 2.1414728998284263)	(41, 2.2041985351015208)	(42, 2.267578926483938)	(43, 2.3307847162372024)	(44, 2.3986243413325843)	(45, 2.467263458098297)	(46, 2.5348733442079516)	(47, 2.6054767293016314)	(48, 2.6760594378865963)	(49, 2.746375649248117)	(50, 2.8169170048156507)	(51, 2.889374383524149)	(52, 2.9620316351502303)	(53, 3.0348267301677474)	(54, 3.1088532261487627)	(55, 3.182594845787476)	(56, 3.2569521659079386)	(57, 3.3308155472090872)	(58, 3.404552572068086)	(59, 3.4817540608318507)	(60, 3.5590727164783367)	(61, 3.637209242914011)	(62, 3.71598214634015)	(63, 3.7980242355331866)	(64, 3.8771716135060608)	(65, 3.9611228336704905)
SRR12885581 - illumina_universal_adapter	(1, 0.0018497011180025605)	(2, 0.002329003232521472)	(3, 0.0024505164446530273)	(4, 0.002582155757795545)	(5, 0.0027948038790257665)	(6, 0.0030040766332523334)	(7, 0.004928035825335289)	(8, 0.04556745454933315)	(9, 0.046090636434899565)	(10, 0.049685402293791404)	(11, 0.04995543165408375)	(12, 0.05031997129047842)	(13, 0.050941038819150804)	(14, 0.05134270749258567)	(15, 0.05182876034111189)	(16, 0.05216629704147732)	(17, 0.05270635576206201)	(18, 0.05312490127051514)	(19, 0.053786473203231384)	(20, 0.054370411694863584)	(21, 0.0550488604625981)	(22, 0.05595345881957745)	(23, 0.057148338738871075)	(24, 0.05891028031477863)	(25, 0.061134647170186816)	(26, 0.06444588220077169)	(27, 0.06894524641664287)	(28, 0.07540907422864088)	(29, 0.08382048880174742)	(30, 0.09453052830434253)	(31, 0.10858555650755906)	(32, 0.12580667896020334)	(33, 0.14571459354775645)	(34, 0.16848819472141205)	(35, 0.19338490174036624)	(36, 0.22252444508291386)	(37, 0.2540031177589939)	(38, 0.2882867204151107)	(39, 0.32518960786606327)	(40, 0.3625076654584653)	(41, 0.4059047590244487)	(42, 0.44742514853640036)	(43, 0.4863498808225418)	(44, 0.5380335003824966)	(45, 0.5836347086018663)	(46, 0.6335867648889464)	(47, 0.6965373595070992)	(48, 0.7517887419899165)	(49, 0.812859257187034)	(50, 0.8721813322762584)	(51, 0.9245265237689294)	(52, 0.9945822659297745)	(53, 1.0670041403601813)	(54, 1.1546522953440728)	(55, 1.2470597178031166)	(56, 1.3329661834131226)	(57, 1.4254377378452359)	(58, 1.5170620751594321)	(59, 1.6138034688511682)	(60, 1.7253728497899576)	(61, 1.8403513514024379)	(62, 1.9585094487323607)	(63, 2.078986423193794)	(64, 2.2021468144231324)	(65, 2.327676713289036)
SRR12885581 - polya	(1, 0.1375259531968911)	(2, 0.1818985278269306)	(3, 0.2248264453794061)	(4, 0.26471315726158906)	(5, 0.3033374818844053)	(6, 0.3448173669923131)	(7, 0.38616223742007466)	(8, 0.43248239881122275)	(9, 0.47614614637049485)	(10, 0.5209338911419839)	(11, 0.5606687115090023)	(12, 0.6003900304080063)	(13, 0.6382312698859747)	(14, 0.6913933001935301)	(15, 0.727648117179781)	(16, 0.763754418017871)	(17, 0.801572029926814)	(18, 0.8420764339706657)	(19, 0.8883830938937991)	(20, 0.9291271489949102)	(21, 0.9712078494294685)	(22, 1.0204882076828214)	(23, 1.0652658263532995)	(24, 1.1114070932932538)	(25, 1.1586791081794323)	(26, 1.2155540421910074)	(27, 1.2642943417237755)	(28, 1.314654817418298)	(29, 1.3690724842512125)	(30, 1.4198143764171478)	(31, 1.4706980339972364)	(32, 1.5223343984191402)	(33, 1.5744534403225663)	(34, 1.6281251510476735)	(35, 1.6820702665000766)	(36, 1.7364204259929181)	(37, 1.7903216616742739)	(38, 1.8435849529919388)	(39, 1.8940028099255233)	(40, 1.9457471860915436)	(41, 1.9964654506884534)	(42, 2.0410304212377013)	(43, 2.0864594857398844)	(44, 2.1349061283433346)	(45, 2.1838658267313407)	(46, 2.2327208887422327)	(47, 2.2813295489618586)	(48, 2.3238625485749065)	(49, 2.3672427653058716)	(50, 2.410541973228749)	(51, 2.478120196008912)	(52, 2.526141542369902)	(53, 2.584444256624023)	(54, 2.699540896081631)	(55, 2.7539720643825603)	(56, 2.8083559775454385)	(57, 2.8604446411458317)	(58, 2.913626923655409)	(59, 3.045023210373664)	(60, 3.2011339342926757)	(61, 3.2690024386351526)	(62, 3.335250766815876)	(63, 3.407230468168804)	(64, 3.475861805454107)	(65, 3.5487292283289964)
SRR12885679_1 - polya	(1, 0.0019294806845757196)	(2, 0.00471569472814711)	(3, 0.007057066450701517)	(4, 0.010907789999093382)	(5, 0.013047792769747097)	(6, 0.015585956877113545)	(7, 0.017867833227515475)	(8, 0.02133961702096695)	(9, 0.025944558825568675)	(10, 0.031662064089421724)	(12, 0.0347681801724899)	(14, 0.037734710959354184)	(16, 0.04033557403583517)	(18, 0.04270898172801013)	(20, 0.045012367943728725)	(22, 0.04782238013616111)	(24, 0.05062186622428959)	(26, 0.05387534776761235)	(28, 0.056813503838527)	(30, 0.060005201726152965)	(32, 0.06326783640365304)	(34, 0.06607967922292088)	(36, 0.06853271918243839)	(38, 0.07097477538094316)	(40, 0.07339394874400465)	(42, 0.0756318900503555)	(44, 0.07788539168480779)	(46, 0.08008534748432286)	(48, 0.08219102600181169)	(50, 0.08418595159575512)	(52, 0.08619643751779998)	(54, 0.08822294142465513)	(56, 0.09029246506214361)	(58, 0.09240043186317676)	(60, 0.09433952333863865)	(62, 0.15133975111438264)	(64, 1.3420155997781098)	(66, 1.3483175326591836)	(68, 1.3503330528050261)	(70, 1.3521284400739044)	(72, 1.3540670738926572)	(74, 1.3560908318592593)	(76, 1.3582367841671281)	(78, 1.3602458971190465)	(80, 1.3620110790451396)	(82, 1.3636600161671808)	(84, 1.3653240559606148)	(86, 1.3670823730360748)	(88, 1.3680704538705148)																
SRR12885679_2 - polya	(1, 0.006089580168160465)	(2, 0.008653373051223365)	(3, 0.009963186551995592)	(4, 0.0118231034168238)	(5, 0.013092643127215888)	(6, 0.014278889316594509)	(7, 0.015347060075085905)	(8, 0.01750628442751196)	(9, 0.019973054088295434)	(10, 0.023632019475672776)	(12, 0.02615828450860873)	(14, 0.029064404609902804)	(16, 0.03344143337348966)	(18, 0.03729032629504606)	(20, 0.04132411252698401)	(22, 0.04533043935639005)	(24, 0.0488722446262979)	(26, 0.0525238875063334)	(28, 0.055683091767629936)	(30, 0.05876220610487505)	(32, 0.0615516237454085)	(34, 0.06458405709834937)	(36, 0.0675656905566062)	(38, 0.0702388633930879)	(40, 0.073535364667044)	(42, 0.07648770809593344)	(44, 0.07936774176482221)	(46, 0.08242992280383932)	(48, 0.08541567517247595)	(50, 0.08874375475934373)	(52, 0.09189517885658957)	(54, 0.09540632112700345)	(56, 0.16954625030645837)	(58, 1.2711556962310917)	(60, 1.2769862427020344)	(62, 1.2798969393704172)	(64, 1.2830717039598152)	(66, 1.286875288867194)	(68, 1.2902729322738091)	(70, 1.2943080914758738)	(72, 1.298093370114898)	(74, 1.301213673555941)	(76, 1.304482257770656)	(78, 1.3074419237068877)	(80, 1.3099173888451394)	(82, 1.3123864467894673)	(84, 1.3153044659651918)	(86, 1.31845085583864)	(88, 1.320230682779417)																
SRR12885688_1 - polya	(1, 0.002535365410855448)	(2, 0.0060611960341058705)	(3, 0.008712147043751244)	(4, 0.012923033776902937)	(5, 0.014902084761062155)	(6, 0.016926242320358907)	(7, 0.01899926533605465)	(8, 0.022228144339649654)	(9, 0.026526425062130314)	(10, 0.03172636742720393)	(12, 0.03441302780883318)	(14, 0.03717956441726848)	(16, 0.03963129472005643)	(18, 0.041900249421505824)	(20, 0.04411329076419099)	(22, 0.04696017345959003)	(24, 0.04992921979598654)	(26, 0.053076812992302436)	(28, 0.055981018626938744)	(30, 0.0590463862956602)	(32, 0.06202811885631414)	(34, 0.0647011532933706)	(36, 0.0673351893373394)	(38, 0.06986538628646034)	(40, 0.07234577805886691)	(42, 0.07457855352817476)	(44, 0.07679817291306748)	(46, 0.07917284614999547)	(48, 0.08154704952676578)	(50, 0.08349790890146404)	(52, 0.08533929085942225)	(54, 0.08733243764831194)	(56, 0.0893617636693432)	(58, 0.09131920108624902)	(60, 0.09312534353238104)	(62, 0.0948544289126531)	(64, 0.10072533158289751)	(66, 0.10731418057408096)	(68, 0.10911985316005529)	(70, 0.11077845951667496)	(72, 0.11275845022114955)	(74, 0.11478072833981556)	(76, 0.11688758128686447)	(78, 0.11899584381438641)	(80, 0.12073244695718138)	(82, 0.12229661142210685)	(84, 0.12393548365210386)	(86, 0.12572565085287465)	(88, 0.12722356503556687)																
SRR12885688_2 - polya	(1, 0.007751752881447958)	(2, 0.01086034768467621)	(3, 0.012351683825160864)	(4, 0.0145628457272153)	(5, 0.01582113122948937)	(6, 0.016976047497073266)	(7, 0.01817607033979469)	(8, 0.020765939528941322)	(9, 0.0237467323692799)	(10, 0.02829403897533235)	(12, 0.030936062641981756)	(14, 0.034173868988572734)	(16, 0.039151097638904786)	(18, 0.04340239234561718)	(20, 0.0484129810671447)	(22, 0.05358990028449187)	(24, 0.058278164937849104)	(26, 0.06286353021667385)	(28, 0.06675726134338977)	(30, 0.07045553064450971)	(32, 0.07398136126776014)	(34, 0.07762324734995817)	(36, 0.08139716413646503)	(38, 0.08470967824812753)	(40, 0.08893841966727117)	(42, 0.0926860242849478)	(44, 0.09632133232493825)	(46, 0.10013236806390204)	(48, 0.10378788009067286)	(50, 0.10772013975031876)	(52, 0.11155936709874349)	(54, 0.11608412041722718)	(56, 0.1199209984648635)	(58, 0.12321001956864189)	(60, 0.12652864186235424)	(62, 0.1295667576419301)	(64, 0.13303479546578556)	(66, 0.1371094227532093)	(68, 0.14370109090533886)	(70, 0.1515938018340916)	(72, 0.15561016646196268)	(74, 0.15880427581388917)	(76, 0.1621896182499925)	(78, 0.16539218508475728)	(80, 0.16803561833187974)	(82, 0.17043566401732257)	(84, 0.17353486161739717)	(86, 0.17715090539092265)	(88, 0.18005558088571666)																
