"","SRR12885679","SRR12885688","SRR12885709","SRR12885579","SRR12885580","SRR12885581"
"ENSG00000000003",2584,2605,671,1,1,1
"ENSG00000000005",1,1,1,1,1,1
"ENSG00000000419",2638,2835,6978,1,1,1
"ENSG00000000457",1568,1437,1825,1,1,1
"ENSG00000000460",288,397,766,1,1,1
"ENSG00000000938",31,77,22,1,1,1
"ENSG00000000971",99,42,5,1,1,1
"ENSG00000001036",6307,11118,9622,1,1,1
"ENSG00000001084",5728,21809,20211,1,1,1
"ENSG00000001167",3819,2916,10560,1,1,1
"ENSG00000001460",1542,823,825,1,1,1
"ENSG00000001461",4404,3933,2147,1,1,1
"ENSG00000001497",2488,3105,2543,1,1,1
"ENSG00000001561",9541,9736,6615,1,1,1
"ENSG00000001617",166,400,349,1,1,1
"ENSG00000001626",75528,41405,199,1,1,1
"ENSG00000001629",6288,6887,9596,1,1,1
"ENSG00000001630",1844,2090,1410,1,1,1
"ENSG00000001631",943,1201,974,1,1,1
"ENSG00000002016",849,580,749,1,1,1
"ENSG00000002079",37,71,171,1,1,1
"ENSG00000002330",1035,1287,774,1,1,1
"ENSG00000002549",3300,4740,5342,1,1,1
"ENSG00000002586",37017,30471,5246,1,1,1
"ENSG00000002587",492,214,245,1,1,1
"ENSG00000002726",392,222,1,1,1,1
"ENSG00000002745",241,17,37,1,1,1
"ENSG00000002746",7,6,14,1,1,1
"ENSG00000002822",7,10,668,1,1,1
"ENSG00000002834",14922,21657,7495,1,1,1
"ENSG00000002919",2058,1887,2733,1,1,1
"ENSG00000002933",6443,5612,1104,1,1,1
"ENSG00000003056",8618,7232,22165,1,1,1
"ENSG00000003096",553,425,68,1,1,1
"ENSG00000003137",439,12,137,1,1,1
"ENSG00000003147",5982,7362,3219,1,1,1
"ENSG00000003249",1405,2120,246,1,1,1
"ENSG00000003393",3987,4208,8226,1,1,1
"ENSG00000003400",1297,1066,177,1,1,1
"ENSG00000003402",8412,11977,6136,1,1,1
"ENSG00000003436",2911,5326,9004,1,1,1
"ENSG00000003509",1145,1011,1179,1,1,1
"ENSG00000003756",6104,6285,7117,1,1,1
"ENSG00000003987",4874,5970,2342,1,1,1
"ENSG00000003989",58416,124151,69709,1,1,1
"ENSG00000004059",5838,9191,4290,1,1,1
"ENSG00000004139",1257,1689,1652,1,1,1
"ENSG00000004142",5899,6970,7696,1,1,1
"ENSG00000004399",3408,3058,1444,1,1,1
"ENSG00000004455",15957,12131,10027,1,1,1
"ENSG00000004468",14,14,8,1,1,1
"ENSG00000004478",8062,4065,13787,1,1,1
"ENSG00000004487",6102,6737,3713,1,1,1
"ENSG00000004534",8366,4952,7275,1,1,1
"ENSG00000004660",3818,4933,3013,1,1,1
"ENSG00000004700",2799,2924,8066,1,1,1
"ENSG00000004766",3006,2291,5822,1,1,1
"ENSG00000004776",229,192,73,1,1,1
"ENSG00000004777",546,829,287,1,1,1
"ENSG00000004779",3273,4053,6115,1,1,1
"ENSG00000004799",22367,45862,37294,1,1,1
"ENSG00000004809",37,69,1,1,1,1
"ENSG00000004838",46,27,253,1,1,1
"ENSG00000004846",10,1,7,1,1,1
"ENSG00000004848",2060,4212,72,1,1,1
"ENSG00000004864",3076,3338,4801,1,1,1
"ENSG00000004866",2331,2543,2655,1,1,1
"ENSG00000004897",6646,7180,9552,1,1,1
"ENSG00000004939",2,1,121,1,1,1
"ENSG00000004948",9,14,5,1,1,1
"ENSG00000004961",2140,2237,4397,1,1,1
"ENSG00000004975",3687,3020,7419,1,1,1
"ENSG00000005001",1588,879,1124,1,1,1
"ENSG00000005007",6975,4981,9480,1,1,1
"ENSG00000005020",1267,1039,1880,1,1,1
"ENSG00000005022",12693,14882,14127,1,1,1
"ENSG00000005059",2154,1795,826,1,1,1
"ENSG00000005073",1,1,1,1,1,1
"ENSG00000005075",2808,2346,2175,1,1,1
"ENSG00000005100",1667,1907,3677,1,1,1
"ENSG00000005102",5,4,13,1,1,1
"ENSG00000005108",905,888,6545,1,1,1
"ENSG00000005156",2079,1334,1037,1,1,1
"ENSG00000005175",2627,2678,3203,1,1,1
"ENSG00000005187",1027,672,1382,1,1,1
"ENSG00000005189",406,841,323,1,1,1
"ENSG00000005194",3132,3159,4045,1,1,1
"ENSG00000005206",2394,3551,2287,1,1,1
"ENSG00000005238",1774,2018,1847,1,1,1
"ENSG00000005243",73,228,95,1,1,1
"ENSG00000005249",3347,1937,2082,1,1,1
"ENSG00000005302",1335,1567,3069,1,1,1
"ENSG00000005339",5636,8222,20165,1,1,1
"ENSG00000005379",2649,2673,490,1,1,1
"ENSG00000005381",11,7,8,1,1,1
"ENSG00000005421",590,23,74,1,1,1
"ENSG00000005436",1809,2022,2110,1,1,1
"ENSG00000005448",1214,1135,582,1,1,1
"ENSG00000005469",1476,1446,700,1,1,1
"ENSG00000005471",224,249,128,1,1,1
"ENSG00000005483",7540,9901,23348,1,1,1
"ENSG00000005486",10214,13898,12925,1,1,1
"ENSG00000005513",43,34,243,1,1,1
"ENSG00000005700",14205,22337,26526,1,1,1
"ENSG00000005801",2572,2386,3774,1,1,1
"ENSG00000005810",11937,13778,17261,1,1,1
"ENSG00000005812",4201,7248,11132,1,1,1
"ENSG00000005844",35,59,7,1,1,1
"ENSG00000005882",766,938,132,1,1,1
"ENSG00000005884",10687,13521,2928,1,1,1
"ENSG00000005889",2286,4292,10604,1,1,1
"ENSG00000005893",30502,37287,36741,1,1,1
"ENSG00000005961",15,21,142,1,1,1
"ENSG00000005981",556,518,311,1,1,1
"ENSG00000006007",5278,8337,10258,1,1,1
"ENSG00000006015",570,809,404,1,1,1
"ENSG00000006016",175,282,193,1,1,1
"ENSG00000006025",1169,1056,334,1,1,1
"ENSG00000006042",1454,2892,216,1,1,1
"ENSG00000006047",44,31,16,1,1,1
"ENSG00000006059",1,1,1,1,1,1
"ENSG00000006062",934,859,750,1,1,1
"ENSG00000006071",90172,58543,5262,1,1,1
"ENSG00000006116",1,2,1,1,1,1
"ENSG00000006118",5250,4826,6740,1,1,1
"ENSG00000006125",29425,31275,21595,1,1,1
"ENSG00000006128",23,144,2201,1,1,1
"ENSG00000006194",834,953,2210,1,1,1
"ENSG00000006210",2402,2379,27,1,1,1
"ENSG00000006282",5025,4332,1303,1,1,1
"ENSG00000006283",37,23,98,1,1,1
"ENSG00000006327",3650,5262,13596,1,1,1
"ENSG00000006377",2,1,1,1,1,1
"ENSG00000006432",4963,4225,4517,1,1,1
"ENSG00000006451",5343,6927,15899,1,1,1
"ENSG00000006453",2555,2829,3085,1,1,1
"ENSG00000006459",5350,5440,12179,1,1,1
"ENSG00000006468",4657,7392,3082,1,1,1
"ENSG00000006530",2050,1971,1665,1,1,1
"ENSG00000006534",352,1427,112,1,1,1
"ENSG00000006555",1768,1647,255,1,1,1
"ENSG00000006576",9197,10359,11815,1,1,1
"ENSG00000006606",1079,27,83,1,1,1
"ENSG00000006607",3712,3578,3279,1,1,1
"ENSG00000006611",5653,5795,222,1,1,1
"ENSG00000006625",1209,1255,1764,1,1,1
"ENSG00000006634",473,992,3553,1,1,1
"ENSG00000006638",13,13,3,1,1,1
"ENSG00000006652",843,1242,7186,1,1,1
"ENSG00000006659",1,1,1,1,1,1
"ENSG00000006695",1180,1298,2095,1,1,1
"ENSG00000006704",2465,2929,3884,1,1,1
"ENSG00000006712",4847,3152,6093,1,1,1
"ENSG00000006715",12910,7507,10006,1,1,1
"ENSG00000006740",3817,5332,3593,1,1,1
"ENSG00000006744",3703,3751,2809,1,1,1
"ENSG00000006747",2229,2913,1006,1,1,1
"ENSG00000006756",4418,6702,1192,1,1,1
"ENSG00000006757",1880,2861,2369,1,1,1
"ENSG00000006788",4,1,162,1,1,1
"ENSG00000006831",7621,9632,26518,1,1,1
"ENSG00000006837",69,97,481,1,1,1
"ENSG00000007001",6,12,2,1,1,1
"ENSG00000007038",65,25,1,1,1,1
"ENSG00000007047",2214,3845,1864,1,1,1
"ENSG00000007062",3151,5193,297,1,1,1
"ENSG00000007080",1745,1981,2139,1,1,1
"ENSG00000007129",3,4,1,1,1,1
"ENSG00000007168",19916,20454,27605,1,1,1
"ENSG00000007171",8,592,3,1,1,1
"ENSG00000007174",223,58,73,1,1,1
"ENSG00000007202",15005,10843,8949,1,1,1
"ENSG00000007216",5,468,1,1,1,1
"ENSG00000007237",472,888,211,1,1,1
"ENSG00000007255",1103,1532,493,1,1,1
"ENSG00000007264",12,39,11,1,1,1
"ENSG00000007306",21855,11844,4,1,1,1
"ENSG00000007312",8,1,28,1,1,1
"ENSG00000007314",1,1,93,1,1,1
"ENSG00000007341",1186,1117,1886,1,1,1
"ENSG00000007350",1,1,13,1,1,1
"ENSG00000007372",16405,15054,4027,1,1,1
"ENSG00000007376",539,911,914,1,1,1
"ENSG00000007384",674,910,1254,1,1,1
"ENSG00000007392",3215,2073,5577,1,1,1
"ENSG00000007402",13797,10297,1466,1,1,1
"ENSG00000007516",953,7884,1757,1,1,1
"ENSG00000007520",1201,1304,915,1,1,1
"ENSG00000007541",1995,1329,788,1,1,1
"ENSG00000007545",1029,1166,2340,1,1,1
"ENSG00000007866",494,860,463,1,1,1
"ENSG00000007908",130,3,14,1,1,1
"ENSG00000007923",3222,3000,4605,1,1,1
"ENSG00000007933",36,35,72,1,1,1
"ENSG00000007944",1604,2553,12462,1,1,1
"ENSG00000007952",38,18,35,1,1,1
"ENSG00000007968",3,5,1,1,1,1
"ENSG00000008018",12489,17245,29498,1,1,1
"ENSG00000008056",1847,1254,755,1,1,1
"ENSG00000008083",2286,1913,2566,1,1,1
"ENSG00000008086",3074,3359,2072,1,1,1
"ENSG00000008118",298,149,64,1,1,1
"ENSG00000008128",130,79,456,1,1,1
"ENSG00000008130",3153,2707,2911,1,1,1
"ENSG00000008196",1,1,1,1,1,1
"ENSG00000008197",1,1,1,1,1,1
"ENSG00000008226",43,108,32,1,1,1
"ENSG00000008256",1167,1567,3603,1,1,1
"ENSG00000008277",1071,445,334,1,1,1
"ENSG00000008282",8390,12760,16233,1,1,1
"ENSG00000008283",10941,10600,3990,1,1,1
"ENSG00000008294",14537,23091,59486,1,1,1
"ENSG00000008300",7683,6077,12024,1,1,1
"ENSG00000008311",898,1484,1981,1,1,1
"ENSG00000008323",963,904,368,1,1,1
"ENSG00000008324",1282,1225,1975,1,1,1
"ENSG00000008382",714,809,134,1,1,1
"ENSG00000008394",1141,9301,3605,1,1,1
"ENSG00000008405",2774,5306,21335,1,1,1
"ENSG00000008438",6,13,8,1,1,1
"ENSG00000008441",1336,2279,520,1,1,1
"ENSG00000008513",4933,4614,5339,1,1,1
"ENSG00000008516",59,54,220,1,1,1
"ENSG00000008517",7171,3775,1502,1,1,1
"ENSG00000008710",9215,7100,8690,1,1,1
"ENSG00000008735",6844,4750,6306,1,1,1
"ENSG00000008838",4310,5794,5286,1,1,1
"ENSG00000008853",1756,2516,1392,1,1,1
"ENSG00000008869",5139,5557,6370,1,1,1
"ENSG00000008952",21337,20159,28783,1,1,1
"ENSG00000008988",34173,51825,49684,1,1,1
"ENSG00000009307",52352,75719,57259,1,1,1
"ENSG00000009335",13998,14353,13161,1,1,1
"ENSG00000009413",7449,9673,17786,1,1,1
"ENSG00000009694",313,672,397,1,1,1
"ENSG00000009709",3,1,1,1,1,1
"ENSG00000009724",268,476,913,1,1,1
"ENSG00000009765",122,664,1,1,1,1
"ENSG00000009780",1615,2286,3031,1,1,1
"ENSG00000009790",50,40,77,1,1,1
"ENSG00000009830",3418,2990,8663,1,1,1
"ENSG00000009844",4260,5313,12749,1,1,1
"ENSG00000009950",10977,5341,1942,1,1,1
"ENSG00000009954",14459,9586,21421,1,1,1
"ENSG00000010017",5723,6837,7140,1,1,1
"ENSG00000010030",307,289,154,1,1,1
"ENSG00000010072",1102,1516,3490,1,1,1
"ENSG00000010165",2730,2185,4639,1,1,1
"ENSG00000010219",852,697,502,1,1,1
"ENSG00000010244",8350,12876,22675,1,1,1
"ENSG00000010256",8060,6926,4051,1,1,1
"ENSG00000010270",3488,4047,6506,1,1,1
"ENSG00000010278",3779,6344,3347,1,1,1
"ENSG00000010282",832,648,97,1,1,1
"ENSG00000010292",2264,1702,2271,1,1,1
"ENSG00000010295",926,726,676,1,1,1
"ENSG00000010310",6922,9690,1837,1,1,1
"ENSG00000010318",347,1217,1291,1,1,1
"ENSG00000010319",21,15,97,1,1,1
"ENSG00000010322",11682,6207,6559,1,1,1
"ENSG00000010327",304,338,37,1,1,1
"ENSG00000010361",1002,642,223,1,1,1
"ENSG00000010379",5,9,95,1,1,1
