"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000198804",477091.540440115,-19.3638704945111,1.18066297223579,-16.4008450759171,1.88596203719836e-60,6.94562099059413e-56
"ENSG00000210082",394963.707106781,-19.0913249124751,1.17476543351901,-16.2511803358795,2.19105068951249e-59,4.0346007396683e-55
"ENSG00000156508",272032.540440115,-18.5533850253416,1.1563128581184,-16.0452985496784,6.16617169763736e-58,7.56959237601963e-54
"ENSG00000198938",230543.040440115,-18.3146415480708,1.15750855850147,-15.8224675001809,2.17787309872783e-56,2.00516776199871e-52
"ENSG00000166710",200878.707106781,-18.1159301116177,1.15193405959995,-15.7265339631585,9.95112944826937e-56,7.32960390641729e-52
"ENSG00000198712",304736.873773448,-18.7171675675275,1.1928587103995,-15.6910180596819,1.74238570609316e-55,1.001446666819e-51
"ENSG00000198886",227572.040440115,-18.2959281510829,1.1664301394056,-15.6854041515134,1.90347742688525e-55,1.001446666819e-51
"ENSG00000198786",197934.040440115,-18.0946248252505,1.15737356099257,-15.6342130450366,4.25701489615879e-55,1.9597168074467e-51
"ENSG00000254647",192997.707106781,-18.0581886717847,1.15805984945529,-15.593484810201,8.06134316838652e-55,3.29870162450376e-51
"ENSG00000198727",141046.040440115,-17.6057698912218,1.15878868944702,-15.1932531371388,3.91974039879612e-52,1.44356199406863e-48
"ENSG00000115263",1459984.37377345,-20.9774667778874,1.39218306974266,-15.068037554691,2.62803865523336e-51,8.79867341772129e-48
"ENSG00000197746",102663.040440115,-17.1475192539682,1.1491784238975,-14.9215464695304,2.38676902653485e-50,7.32499414243546e-47
"ENSG00000198888",110016.373773448,-17.2473206595678,1.15680270397337,-14.9094747101877,2.85993603457994e-50,8.10197879088538e-47
"ENSG00000087086",152105.207106781,-17.7146717093042,1.18900443266554,-14.8987432028247,3.35837259269025e-50,8.24547638957311e-47
"ENSG00000198763",103960.873773448,-17.1656429438365,1.15212669495878,-14.8990931456984,3.34083059827857e-50,8.24547638957311e-47
"ENSG00000087460",162633.373773448,-17.8112247249966,1.20526376708713,-14.7778645731985,2.03516992649619e-49,4.68445237831261e-46
"ENSG00000198899",93807.5404401145,-17.0173770951441,1.15490236717096,-14.7349053728495,3.84735885297117e-49,8.33473716689543e-46
"ENSG00000109472",118791.373773448,-17.3580306311016,1.19481417394086,-14.5278077626494,8.07639919310711e-48,1.65243127490971e-44
"ENSG00000118271",325517.540440115,-18.8123311174303,1.30130368828376,-14.4565263948811,2.28018228328214e-47,4.41971332256392e-44
"ENSG00000096384",86752.8737734478,-16.9045828857967,1.17445929515472,-14.3935025722366,5.68427161652904e-47,1.04670177546766e-43
"ENSG00000142192",66532.7071067812,-16.5217336588627,1.14865080479207,-14.3835999504249,6.55920307158242e-47,1.15029681295351e-43
"ENSG00000167658",71982.7071067812,-16.6353202413346,1.16608354744368,-14.2659762911525,3.56566691362965e-46,5.96892641341604e-43
"ENSG00000127022",75837.0404401145,-16.7105727287313,1.17299889994408,-14.246025916587,4.7452763148802e-46,7.59821896193079e-43
"ENSG00000212907",80837.2071067812,-16.8026897597389,1.18062890298246,-14.2319823928523,5.80135917236115e-46,8.90218564998819e-43
"ENSG00000100316",69375.5404401145,-16.5820959263514,1.17657974378017,-14.0934739136981,4.16555603020109e-45,5.94240244428701e-42
"ENSG00000111640",63906.8737734479,-16.4636393717246,1.16821624243698,-14.0929724940138,4.19524447571039e-45,5.94240244428701e-42
"ENSG00000171951",96840.5404401145,-17.0632809309081,1.21505713564413,-14.043192233806,8.48048852838486e-45,1.1567386352717e-41
"ENSG00000099194",86129.2071067812,-16.8941720377958,1.20378234137699,-14.0342414547058,9.62204458880668e-45,1.20951141485051e-41
"ENSG00000166598",57083.0404401145,-16.3007291842587,1.1616359807534,-14.0325622263238,9.85265082152586e-45,1.20951141485051e-41
